strategy,peek_rate_2-4,opportunities_2-4,peek_rate_5-8,opportunities_5-8,peek_rate_9-14,opportunities_9-14,peek_rate_15+,opportunities_15+
S1_NeverPeek,0.0000,144474,0.0000,77398,0.0000,83120,0.0000,69223
S2_AlwaysPeek,0.2149,140765,0.5287,68069,0.6831,53730,0.9969,32796
S3_MarginalPeek,0.0000,144375,0.0001,78327,0.0659,84262,0.1177,66603
S4_BluffReveal,0.0000,141023,0.0000,73543,0.0000,76063,0.0000,64938
S5_HonestValue,0.0000,146272,0.0000,82460,0.0000,92697,0.0000,64683
S6_ShortStackPush,0.0000,143004,0.0001,77148,0.0571,84392,0.0971,66042
S7_SignalReader,0.0000,144537,0.0001,78198,0.0662,83192,0.1120,66482
S8_SignalBlind,0.0000,144374,0.0001,78081,0.0648,83804,0.1144,66791
S9_PotAwareBluff,0.0000,142198,0.0000,66554,0.0000,64517,0.0000,64187
