strategy,S1,S2,S3,S4p,S6,S10
S1,,0.497601,0.500550,0.502696,0.503397,0.509591
S2,0.502399,,0.495952,0.498600,0.506695,0.493807
S3,0.499450,0.504048,,0.510940,0.508042,0.502098
S4p,0.497304,0.501400,0.489060,,0.502699,0.501498
S6,0.496603,0.493305,0.491958,0.497301,,0.498750
S10,0.490409,0.506193,0.497902,0.498502,0.501250,
