rounds,count
2,1289
3,1893
4,2555
5,2651
6,3099
7,3198
8,3253
9,3162
10,3137
11,3046
12,2925
13,2831
14,2681
15,2463
16,2264
17,2178
18,2059
19,1841
20,1709
21,1592
22,1469
23,1427
24,1284
25,1237
26,1126
27,1022
28,969
29,829
30,12811
