foundation,n,seed,m1_median,m1_median_ci_lo,m1_median_ci_hi,m1_mean,m1_mean_ci_lo,m1_mean_ci_hi,m2,m2_ci_lo,m2_ci_hi,m3,m3_degenerate,m3_ci_lo,m3_ci_hi,eq_pre_mean
F0,50000,20260716,0.09999999999999995,0.09999999999999995,0.10000000000000009,0.110375,0.10964746250000003,0.1111055125,0.15072,0.14758,0.1539,3.1763490423587393,False,3.118633955607234,3.241930756817694,0.498476
F9,50000,20260717,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,True,1.0,1.0,0.5
F+,50000,20260718,0.125,0.125,0.125,0.22517,0.2234775,0.2268875,0.10148,0.09884,0.1042,9.899577167019027,False,9.244914808342202,10.619870630337722,0.501215
FA,50000,20260719,0.06666666666666662,0.05714285714285727,0.06666666666666662,0.09798771428571432,0.09701599047619049,0.09896173095238099,0.10986,0.10714,0.1126,4.168624010317016,False,4.07901966458351,4.262720191172936,0.4994942857142857
FB,50000,20260720,0.11249999999999999,0.11249999999999999,0.11250000000000004,0.180436,0.17887843125,0.18194776875,0.16094,0.15768,0.16414,3.5770136203127634,False,3.48753677178155,3.6695099051432183,0.49952150000000006
FC1,50000,20260721,0.07500000000000018,0.07500000000000018,0.07500000000000029,0.11204600000000002,0.11126892500000002,0.11281452500000001,0.13836,0.13538,0.14138,3.066438574156589,False,3.010299716315503,3.126217291269182,0.49910799999999994
FC2,50000,20260722,0.07500000000000018,0.07500000000000018,0.07500000000000018,0.103685,0.10299550000000002,0.1043845125,0.1196,0.11672,0.12246,2.9680640369697993,False,2.9113423426493616,3.0253226470589056,0.503393
