foundation,n,seed,m2prime,m2prime_ci_lo,m2prime_ci_hi,flip_rate,avg_g_given_flip,check_product_vs_m2prime_diff,m1_median_ref,m1_mean_ref,m2_old_ref,m3_unchanged,m3_ci_lo_unchanged,m3_ci_hi_unchanged,m3_degenerate
F0,50000,20260716,0.02555600000000003,0.024764000000000033,0.026348000000000035,0.15072,0.16955944798301506,0.0,0.09999999999999995,0.110375,0.15072,3.1763490423587393,3.118633955607234,3.241930756817694,False
F9,50000,20260717,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,True
F+,50000,20260718,0.10148,0.09884,0.1042,0.10148,1.0,0.0,0.125,0.22517,0.10148,9.899577167019027,9.244914808342202,10.619870630337722,False
FA,50000,20260719,0.03844533333333335,0.037187966666666676,0.039718766666666676,0.10986,0.3499484192001943,-6.938893903907228e-18,0.06666666666666662,0.09798771428571432,0.10986,4.168624010317016,4.07901966458351,4.262720191172936,False
FB,50000,20260720,0.09684799999999999,0.09458390000000001,0.09908600000000002,0.16094,0.6017646327824036,4.163336342344337e-17,0.11249999999999999,0.180436,0.16094,3.5770136203127634,3.48753677178155,3.6695099051432183,False
FC1,50000,20260721,0.028580000000000015,0.02770400000000001,0.02949000000000001,0.13836,0.20656259034403013,-3.469446951953614e-18,0.07500000000000018,0.11204600000000002,0.13836,3.066438574156589,3.010299716315503,3.126217291269182,False
FC2,50000,20260722,0.023320000000000014,0.02256800000000002,0.024078050000000014,0.1196,0.1949832775919734,3.469446951953614e-18,0.07500000000000018,0.103685,0.1196,2.9680640369697993,2.9113423426493616,3.0253226470589056,False
